8/30/2018,   15:00 GMT,  12.9,  18.4,   30 mph,  1007 mb,   Potential Tropical Cyclone
8/30/2018, 18:00 GMT,  12.9,    19.0,   30 mph,  1007 mb,   Potential Tropical Cyclone
8/30/2018,  21:00 GMT,  12.9,  19.4,   30 mph,  1007 mb,   Potential Tropical Cyclone
8/31/2018,  00:00 GMT,  13.1,    20.4,   30 mph,  1007 mb,   Potential Tropical Cyclone
8/31/2018,   03:00 GMT,  13.2,  20.9,   35 mph,  1007 mb,   Potential Tropical Cyclone
8/31/2018,   06:00 GMT,  13.4,    21.2,   35 mph,  1007 mb,   Potential Tropical Cyclone
8/31/2018, 09:00 GMT,  13.6,  21.4,   35 mph,  1006 mb,   Potential Tropical Cyclone
8/31/2018, 12:00 GMT,  13.7,  21.8,   35 mph,  1006 mb,   Potential Tropical Cyclone
8/31/2018,   15:00 GMT,  13.7,   22.7,   35 mph,  1006 mb,   Potential Tropical Cyclone
8/31/2018, 18:00 GMT,  13.8,   23.3,   35 mph,  1006 mb,   Potential Tropical Cyclone
8/31/2018,   21:00 GMT,  13.8,    24.7,   35 mph,  1004 mb,   Tropical Depression
9/1/2018,    00:00 GMT,  14.0,  25.0,   35 mph,  1004 mb,   Tropical Depression
9/1/2018,   03:00 GMT,  14.2,    25.5,   35 mph,  1004 mb,   Tropical Depression
9/1/2018,   06:00 GMT,  14.4,  26.2,   35 mph,  1004 mb,   Tropical Depression
9/1/2018,  09:00 GMT,  14.5,    26.7,   40 mph,  1003 mb,   Tropical Storm
9/1/2018,  12:00 GMT,  14.6,  27.2,   40 mph,  1003 mb,   Tropical Storm
9/1/2018,   15:00 GMT,  14.8,    27.8,   45 mph,  1003 mb,   Tropical Storm
9/1/2018,    21:00 GMT,  15.6,  29.0,   45 mph,  1002 mb,   Tropical Storm
9/2/2018,  03:00 GMT,  16.0,    30.2,   50 mph,  1000 mb,   Tropical Storm
9/2/2018,   09:00 GMT,  16.5,  31.4,   60 mph,   999 mb,   Tropical Storm
9/2/2018,    15:00 GMT,  17.0,   33.2,   50 mph,  1000 mb,   Tropical Storm
9/2/2018,  21:00 GMT,  17.4,    34.6,   50 mph,  1000 mb,   Tropical Storm
9/3/2018,  03:00 GMT,  17.9,    35.9,   50 mph,  1000 mb,   Tropical Storm
9/3/2018,    09:00 GMT,  18.0,  37.5,   60 mph,   999 mb,   Tropical Storm
9/3/2018,    15:00 GMT,  18.3,   38.7,   65 mph,   997 mb,   Tropical Storm
9/3/2018,  21:00 GMT,  18.6,   39.8,   70 mph,   995 mb,   Tropical Storm
9/4/2018,  03:00 GMT,  18.9,  41.0,   70 mph,   995 mb,   Tropical Storm
9/4/2018,  09:00 GMT,  19.3,    42.0,   70 mph,   995 mb,   Tropical Storm
9/4/2018,    15:00 GMT,  19.7, 42.5,   75 mph,   990 mb,   Hurricane
9/4/2018,    18:50 GMT,  20.0,     42.7,   85 mph,   984 mb,   Hurricane
9/4/2018,  21:00 GMT,  20.3,  43.2,   85 mph,   984 mb,   Hurricane
9/5/2018,   03:00 GMT,  20.7,   43.9,  100 mph,   976 mb,   Hurricane
9/5/2018,    09:00 GMT,  21.4,    44.8,  105 mph,   976 mb,   Hurricane
9/5/2018,  12:35 GMT,  21.7,    45.2,  120 mph,   961 mb,   Hurricane
9/5/2018,  15:00 GMT,  22.0,  45.7,  125 mph,   957 mb,   Hurricane
9/5/2018,    21:00 GMT,  22.7,   46.6,  130 mph,   953 mb,   Hurricane
9/6/2018, 03:00 GMT,  23.4,    47.2,  125 mph,   956 mb,   Hurricane
